급식일자,요일,급식인원수,요리명,칼로리정보(Kcal),탄수화물(g),단백질(g),지방(g),비타민A(R.E),티아민(mg),리보플라빈(mg),비타민C(mg),칼슘(mg),철분(mg)
2025-09-11,목,950,"카레라이스 ,쇠고기무국 ,머스타드미트볼*갈릭소스 ,배추김치 ,토레타음료 ",778.5,106.3,27.7,25.9,93.6,0.6,0.3,22.8,163,2.7
2025-09-12,금,950,"마파두부덮밥 ,콩나물국 ,참나물무침 ,야채새우짜조롤 ,총각김치 ,오렌지 ",741.5,105.1,26.7,23.2,112,0.5,0.4,43.4,257.1,3.7
2025-09-15,월,950,"기장밥 ,얼큰순대국 ,두부조림 ,골뱅이야채무침 ,석박지 ,조각배 ",685.8,106.3,23.3,18.5,137.5,0.4,0.5,16.2,188.8,4.5
2025-09-16,화,950,"잡곡밥 ,차돌박이된장찌개 ,코다리무조림 ,치즈불닭퀘사디아 ,배추김치 ,달고나마카롱 ",940.1,108.4,76,20.1,109.7,0.6,0.6,18.7,363.2,5.2
2025-09-17,수,950,"후리가케밥 ,로제스파게티 ,미니돈가스*소스 ,무말랭이김치 ,크림스프 ,블루베리주스 ",1084.8,130.8,29.6,49.1,180,1.8,0.5,9,278.3,4.3
2025-09-18,목,950,"옥수수밥 ,추어탕 ,간장무채숙주무침 ,오징어야채핫바 ,배추김치 ,쁘띠쿨자두주스 ",597.7,95.5,29.8,9.6,91.8,0.8,0.6,9.1,534.8,6.7
2025-09-19,금,950,"차조밥 ,콩비지찌개 ,멸치꽈리고추볶음 ,돈사태큐브찹스테이크 ,깍두기 ,초코우유 ",941.4,121.4,56.5,23.1,105.1,1.2,0.8,14.4,382.1,5.8
2025-09-22,월,950,"고구마밥 ,쇠고기쌀국수 ,상추겉절이 ,돼지고기두루치기 ,야채계란말이 ,우리밀딸기웨이퍼 ",304.9,40.9,15.3,8.2,101.3,0.3,0.2,4.5,34.6,1.6
2025-09-23,화,950,"흑미밥 ,순두부찌개 ,사각어묵고추장볶음 ,누룽지탕수육 ,깍두기 ,크림요거트*망고잼 ",319.4,47.2,8.7,10.8,52.1,0.2,0.2,4.7,67.1,3.5
2025-09-24,수,950,"치킨마요덮밥 ,얼갈이된장국 ,별콕콕국물떡복이 ,배추김치 ,바나나 ",238.3,37.6,7.7,6.4,16.5,0.1,0.1,3.3,62.7,1
2025-09-25,목,950,"차조밥 ,설렁탕 ,순대야채볶음 ,오징어김치전 ,석박지 ,애플망고주스 ",283.2,47.4,9.9,5.5,51,0.1,0.2,4.3,66.7,1.6
2025-09-26,금,950,"잡곡밥 ,홍합미역국 ,치폴레오리훈제구이 ,배추김치 ,딸기요거트 ,레몬무쌈 ",856.3,114.5,31.1,29.7,95,0.7,0.5,27,279.4,3.2
2025-09-29,월,950,"기장밥 ,앙버터호두과자 ,건새우아욱국 ,유자청도라지무침 ,주꾸미삼겹살볶음 ,배추김치 ",919.4,122.2,35.8,30.2,208.3,0.8,0.7,22.8,420.4,4.4
2025-09-30,화,950,"오므라이스 ,미소된장국 ,마라찜닭 ,총각김치 ,유기농포도주스 ",769.6,106.4,37.7,20.8,137.9,0.5,0.5,30.1,171,3.4
